date,a,b,c,d,e,f,g,h,j,k,l,m,open
2014/12/30,13410,197,168.9,6.202,52.39,109030,11973.33,839612,8000,203.9,108.54,8000,13670
2014/12/31,13870,213.0924094,170,6.204,52,118390,12140,739724,8000,206,109.45,8000,13640
2015/1/5,13760,197.2,201.3327889,6.22,48.87,119290,12326.67,562780,8000,206.25,111.33,8000,13805
2015/1/6,14155,196.1,168,6.213,46.57,119770,12420,778598,8000,206.3,111.86,8000,14335
2015/1/7,14470,193.1,165,6.2125,44.79,119930,12500,789674,8000,205.75,110.73,8000,14305
2015/1/8,13815,189.1,164.8,6.2145,45.68,119930,12410,721514,8000,205.1,109.96,8000,13605
2015/1/9,13800,190.9,166,6.2086,45.19,121930,12370,834086,8000,206.35,110.24,8000,14065
2015/1/12,14255,213.0924094,165,6.2036,43.55,125720,12430,684436,8000,206.15,110.51,8000,14425
2015/1/13,14375,188.1,163,6.1983,41.5,128670,12273.33,675042,8000,204.75,109.49,8000,14155
2015/1/14,13975,183.5,160,6.1957,41.65,130200,12116.67,975016,8000,205.3,107.05,8000,13975
2015/1/15,13780,184.6,160.4,6.1881,43.14,134240,12096.67,645474,8000,205.3,107.05,8000,13800
2015/1/16,13555,182.5,160,6.2066,43.4,134340,12056.67,736506,8000,202.95,106.68,8000,13515
2015/1/19,13455,184.6,160.9,6.2203,43.87,132940,12080,683720,8000,202.7,106.29,8000,13400
2015/1/20,13425,183.9,161.5,6.2142,43.04,132440,12066.67,550790,8000,202.25,104.84,8000,13360
2015/1/21,13515,185,163.5,6.2115,43.25,130240,11986.67,860536,8000,202.55,102.87,8000,13685
2015/1/22,13705,188.2,166,6.2095,43.05,130360,12023.33,872014,8000,201.75,103.96,8000,13700
2015/1/23,13610,187,167.5,6.2288,43.69,130360,12073.33,687076,8000,203.85,104.84,8000,13640
2015/1/26,13215,188,166,6.2542,42.9,130360,12080,839468,8000,203.85,103.11,8000,13225
2015/1/27,13445,194.4,168.7,6.2435,43.24,130460,12140,778906,8000,206.3,102.83,8000,13525
2015/1/28,13450,195,170,6.248,44.08,130460,12186.67,728000,8000,206.3,103.2,8000,13360
2015/1/29,13270,193.9,169,6.2469,43.88,130460,12166.67,546278,8000,205.6,101.89,8000,13300
2015/1/30,13065,191.3,167.5,6.251,44.83,130760,12163.33,633292,8000,204.9,100.8,8000,13010
2015/2/2,13155,197.4,172.7,6.2597,48.19,130260,12156.67,683698,8000,205.7,103.66,8000,13315
2015/2/3,13345,202.5,174.7,6.2581,51.77,127360,12156.67,606618,8000,209.2,103.66,8000,13310
2015/2/4,13605,205.7,174.5,6.2477,52.22,127360,12243.33,887352,8000,211.9,103.66,8000,13500
2015/2/5,13495,205.2,175.2,6.2521,50.81,127860,12330,691248,8000,214.55,104.21,8000,13325
2015/2/6,13460,209.4,178.5,6.2447,53.36,128560,12323.33,707180,8000,214.55,106.36,8000,13670
2015/2/9,13600,213.8,180.8,6.2472,53.58,128560,12386.67,642856,8000,216.6,106.87,8000,13610
2015/2/10,13545,212,183.6,6.2416,53.14,128560,12380,467058,8000,219.15,107.77,8000,13525
2015/2/11,13595,213.0924094,184,6.2427,52.21,128760,12386.67,457684,8000,220.6,107.61,8000,13630
2015/2/12,13530,215,184,6.2454,52.86,128960,12380,477906,8000,221.45,107.16,8000,13530
2015/2/13,13730,218.5,185.3,6.2405,55.97,129310,12380,690514,8000,225,109.34,8000,13800
2015/2/16,13930,220,186.1,6.2485,56.43,130400,12380,538346,8000,226.1,111.24,8000,13945
2015/2/17,13800,218.2,182.7,6.2551,56.69,130400,12380,439424,8000,226.45,110.44,8000,13705
2015/2/25,13845,217.7,181,6.2598,53.81,130600,12380,282736,8000,226.1,109.21,8000,13850
2015/2/26,13935,220.5,183.5,6.2589,56.07,131520,12286.67,514890,8000,226.65,110.33,8000,13990
2015/2/27,13985,222,182,6.2696,56.83,131520,12293.33,491948,8000,227.7,111.42,8000,13970
2015/3/2,13805,221.6,183.5,6.273,56.74,126520,12353.33,759730,8000,227.5,111.82,8000,13680
2015/3/3,13515,220.4,181.5,6.2743,55.94,126320,12366.67,641632,8000,225.85,112.58,8000,13440
2015/3/4,13390,222.2,180.8,6.2709,55.82,122120,12400,561722,8000,225.75,113.16,8000,13300
2015/3/5,13065,218.3,179,6.2662,55.77,122120,12373.33,568958,8000,221.85,112.88,8000,13100
2015/3/6,13105,216.3,172.2,6.2629,55.63,122100,12380,563232,8000,220.9,113.88,8000,13050
2015/3/9,13175,213.5,172.2,6.2644,54.53,122700,12316.67,597392,8000,215.7,112.96,8000,13205
2015/3/10,13050,212.6,201.3327889,6.262,53.03,122900,12310,551552,8000,213.95,113.38,8000,12600
2015/3/11,12945,213,171,6.2623,52.25,121590,12256.67,575738,8000,211.8,113.14,8000,12925
2015/3/12,13085,216.5,172,6.2624,53.16,123700,12250,436630,8000,213.15,114.41,8000,13115
2015/3/13,13050,218.5,171.5,6.2595,51.66,124000,12236.67,430082,8000,212.35,114.87,8000,13050
2015/3/16,12885,218.5,172.5,6.2624,49.46,120580,12236.67,448140,8000,213,115.53,8000,12890
2015/3/17,12995,220.2,173,6.2499,48.76,113750,12210,469336,8000,214.4,116.5,8000,13050
2015/3/18,12930,217,172.3,6.2294,49.17,113530,12163.33,442574,8000,213.9,117.39,8000,12920
